nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
Mr.Bread_Roti_RotiSandwichKrimKeju,160.0,2.5,0.0,0.25,3.0,3.0,0.0,5.124049046306897,2.523809523809524,2.600239522497373,C
Mr.Bread_Roti_RotiKasur4'SChocoBanana,12.0,6.0,9.0,0.18,7.0,6.0,0.0,12.60341359216483,4.629286375354012,7.974127216810818,C
SharonSteamed_CheeseCake_Banana_80G,240.0,3.0,18.0,0.14,6.0,,0.0,13.687807097057835,3.888888888888889,9.798918208168946,C
SharonSteamed_CheeseCake_Chocolate_80G,250.0,3.5,18.0,0.115,6.0,,0.0,12.95399722718357,3.888888888888889,9.065108338294682,C
SoGood_FrozenFood_CrispyChickenNugget_400g,210.0,4.0,0.0,0.21,9.0,0.0,0.0,9.72176308539945,4.271929824561403,5.449833260838047,C
SoGood_FrozenFood_CrispyBbqChickenWing_400G,200.0,2.5,0.0,0.61,16.0,0.0,0.0,9.229340930905995,3.1215277777777772,6.107813153128218,C
SoGood_FrozenFood_ChickenNuggetAnimalPizza_200g,120.0,3.5,0.0,0.27,6.0,0.0,0.0,7.06971352228863,3.888888888888889,3.1808246333997414,C
SoGood_FrozenFood_ChickenNuggetAnimalPizza_400g,120.0,3.5,0.0,0.27,0.0,0.0,0.0,7.06971352228863,1.0,6.06971352228863,C
SoGood_FrozenFood_SpicyChickenStrip_250G,210.0,5.0,0.0,0.5,12.0,0.0,0.0,11.492825220356758,4.416666666666666,7.076158553690092,C
SoGood_FrozenFood_ChickenNuggetAlphabet_200G,120.0,3.0,0.0,0.28,6.0,0.0,0.0,7.06971352228863,3.888888888888889,3.1808246333997414,C
SoGood_FrozenFood_ChickenNuggetDinoBitesOriginal_400G,120.0,3.0,0.0,0.26,6.0,0.0,0.0,7.213623689159618,3.888888888888889,3.3247348002707295,C
SoGood_FrozenFood_ChickenNuggetOriginal_400G,110.0,3.0,0.0,0.26,6.0,0.0,0.0,7.105896647236397,3.888888888888889,3.2170077583475085,C
SoGood_FrozenFood_ChickenStickPremium_400G,110.0,3.5,0.0,0.26,6.0,0.0,0.0,6.57619979487351,3.888888888888889,2.687310905984621,C
SoGood_FrozenFood_ChickenNuggetAlphabet_400G,110.0,3.0,0.0,0.3,4.0,0.0,0.0,6.961517437873774,2.2,4.761517437873774,C
SoGood_FrozenFood_ChickenSpicyWing_400G,200.0,3.0,4.0,0.44,22.0,0.0,0.0,9.671794477011867,1.8055381400208832,7.8662563369909835,C
SoGood_FrozenFood_ChickenStickOriginal_200G,130.0,0.02,0.0,0.26,4.0,0.0,0.0,3.8107021865214667,2.2,1.6107021865214666,B
SoGood_FrozenFood_PremiumSausageOriginal_300G,120.0,0.0025,0.0,0.6,10.0,0.0,0.0,9.077106457301557,7.594982078853047,1.4821243784485105,B
Fiesta,,0.5,,,,,,1.5555555555555556,,,E
Hanzel_FrozenFood_SosisCheeseCocktail_360G,150.0,5.0,0.0,0.71,13.0,0.0,0.0,13.250147367511742,3.7222222222222223,9.527925145289519,C
Hanzel_FrozenFood_SosisBratwurst5'SBlackpepper_360G,270.0,7.0,0.0,1.15,19.0,0.0,0.0,17.22402133917585,1.8055381400208832,15.418483199154966,D
Hanzel_FrozenFood_SosisBratwurst5'SMozzarellaCheese_360G,230.0,8.0,0.0,1.1,20.0,0.0,0.0,19.764443368392815,1.8055381400208832,17.958905228371933,D
Hanzel_FrozenFood_SosisBratwurst5'SOriginal_360G,260.0,6.0,0.0,1.15,21.0,0.0,0.0,15.737814353135956,1.8055381400208832,13.932276213115074,D
GoldenFarm_FrozenFood_MixedVegetable_500G,70.0,0.0,4.0,0.06,3.0,0.0,0.0,3.3549168020692997,2.4989583333333334,0.8559584687359663,B
GoldenFarm_FrozenFood_EdamameSalted_450G,80.0,1.0,1.0,0.002,5.0,0.0,0.0,3.3711037528939953,4.230854360336433,-0.8597506074424373,A
GoldenFarm_FrozenFood_EdamameOriginal_450G,110.0,1.0,1.0,0.002,7.0,0.0,0.0,3.3711037528939953,2.046225614927905,1.3248781379660906,B
GoldenFarm_FrozenFood_GreenPeas_500G,90.0,0.0,3.0,0.065,7.0,0.0,0.0,3.3629585108554747,2.046225614927905,1.31673289592757,B
GoldenFarm_FrozenFood_CornKernel_500G,70.0,0.0,4.0,0.065,3.0,0.0,0.0,3.3549168020692997,2.4989583333333334,0.8559584687359663,B
GoldenFarm_FrozenFood_FrenchFriesCoated_500G,180.0,1.0,0.0,0.006,4.0,0.0,0.0,5.3061760666103455,2.2,3.1061760666103453,C
GoldenFarm_FrozenFood_FrenchFriesCoated_1000G,180.0,1.0,0.0,0.006,4.0,0.0,0.0,5.3061760666103455,2.2,3.1061760666103453,C
GoldenFarm_FrozenFood_FrenchFriesCrinkleCut_500G,130.0,0.0,0.0,0.0015,3.0,0.0,0.0,3.0151311063369715,2.4989583333333334,0.5161727730036381,B
GoldenFarm_FrozenFood_FrenchFriesCrinkleCut_1000G,130.0,0.0,0.0,0.0015,3.0,0.0,0.0,3.0151311063369715,2.4989583333333334,0.5161727730036381,B
GoldenFarm_FrozenFood_FrenchFriesStraightCut_500G,130.0,0.0,0.0,0.0025,2.0,0.0,0.0,3.0151311063369715,1.0,2.0151311063369715,C
GoldenFarm_FrozenFood_FrenchFriesStraightCut_1000G,130.0,0.0,0.0,0.0025,2.0,0.0,0.0,3.0151311063369715,1.0,2.0151311063369715,C
GoldenFarm_FrozenFood_FrenchFriesShoestring_500G,130.0,0.0,0.0,0.002,2.0,0.0,0.0,3.0151311063369715,1.0,2.0151311063369715,C
GoldenFarm_FrozenFood_FrenchFriesShoestring_1000G,130.0,0.0,0.0,0.002,2.0,0.0,0.0,3.0151311063369715,1.0,2.0151311063369715,C
JustFry,,,,,,,,,,,E
Cedea_FrozenFood_PremiumSalmonSausage_390G,100.0,,,,,,,5.049624439941782,,,E
Cedea_FrozenFood_PremiumSalmonSausageCheese_390G,100.0,,,0.19,,0.0,0.0,7.079833979142517,1.0,6.079833979142517,C
Cedea_FrozenFood_FishRoll_200G,40.0,0.0,0.0,0.24,2.0,0.0,0.0,4.584699453551912,1.0,3.584699453551912,C
Cedea_FrozenFood_SalmonBall_200G,40.0,0.0,0.0,0.13,1.0,0.0,0.0,3.234027777777777,1.0,2.234027777777777,C
Cedea_FrozenFood_FishRollOriginal_1000G,40.0,0.0,0.0,0.21,3.0,0.0,0.0,5.412280701754387,2.4989583333333334,2.9133223684210536,C
Cedea_FrozenFood_CrabFlavourNugget_200G,15.0,0.0,0.0,0.1,1.0,0.0,0.0,3.364430589231421,1.0,2.364430589231421,C
Cedea_FrozenFood_FishDumplingChicken_200G,35.0,0.0,0.0,0.135,2.0,0.0,0.0,3.183060109289617,1.0,2.183060109289617,C
Cedea_FrozenFood_FishDumplingChicken_500G,35.0,0.0,0.0,0.135,2.0,0.0,0.0,3.183060109289617,1.0,2.183060109289617,C
Cedea_FrozenFood_FishDumplingCheese_500G,30.0,0.5,1.0,0.19,2.0,0.0,0.0,5.783927162995234,1.0,4.783927162995234,C
Cedea_FrozenFood_SteamboatSet_500G,30.0,0.0,0.0,0.27,2.0,0.0,0.0,7.814814814814813,1.0,6.814814814814813,C
Cedea_FrozenFood_FarmAnimals_500G,10.0,0.0,1.0,0.065,1.0,0.0,0.0,1.3333333333333333,1.0,0.33333333333333326,B
Cedea_FrozenFood_OrientalCartoon_500G,10.0,0.0,1.0,0.065,1.0,0.0,0.0,1.3333333333333333,1.0,0.33333333333333326,B
Cedea_FrozenFood_Chikuwa_250G,15.0,0.0,0.0,0.11,1.0,0.0,0.0,3.344767762794732,1.0,2.344767762794732,C
Cedea_FrozenFood_Chikuwa_1000G,15.0,0.0,0.0,0.11,1.0,0.0,0.0,3.344767762794732,1.0,2.344767762794732,C
Cedea_FrozenFood_CrabStick_250G,15.0,0.0,1.0,0.115,1.0,0.0,0.0,3.32774466718841,1.0,2.32774466718841,C
Cedea_FrozenFood_CrabStick_1000G,15.0,0.0,1.0,0.115,1.0,0.0,0.0,3.32774466718841,1.0,2.32774466718841,C
Cedea_FrozenFood_SteamboatSet_300G,30.0,0.0,0.0,0.27,2.0,0.0,0.0,7.814814814814813,1.0,6.814814814814813,C
Cedea_FrozenFood_KoreanOdengOriginal_480G,80.0,1.5,3.0,0.32,4.0,0.0,0.0,7.947854257750811,2.2,5.747854257750811,C
Cedea_FrozenFood_KoreanOdengSpicy_480G,90.0,0.5,2.0,0.65,6.0,0.0,0.0,13.227905199595991,3.888888888888889,9.339016310707102,C
Garuda_Snack_KentangPanggangRostaBbq_60g,100.0,2.5,,,1.0,0.0,0.0,6.869518320679916,1.0,5.869518320679916,C
Garuda_Biscuit_SkippyWaferConesPeanutButter_45G,80.0,,4.0,0.09,,7.0,0.0,4.996216116659675,6.234278266536331,-1.2380621498766562,A
Garuda_Snack_PilusRendang_96G,,,,,,,,,,,E
Garuda_Snack_O'cornJagungBakar_84G,,2.0,1.0,0.095,1.0,0.0,0.0,5.510918738305576,1.0,4.510918738305576,C
Garuda_Snack_KacangPanggangRostaJagungBakar_95G,,,,,,,,,,,E
Garuda_Snack_KacangPanggangRostaWagyu_95G,,,,,,,,,,,E
Garuda_Snack_PilusMiGoreng_96G,100.0,0.0,1.0,0.22,0.0,0.0,0.0,5.157431182138456,1.0,4.157431182138456,C
Garuda_Snack_KacangPanggangRostaPedas_95G,130.0,0.0,5.0,0.115,5.0,2.0,0.0,3.32774466718841,4.230854360336433,-0.9031096931480227,A
