nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
Ultra_Susu_SusuCairLowFatHi-CalciumPlain_250mL,90,1.5,10.0,0.105,7,0,0,9.037813323044176,2.046225614927905,6.991587708116271,C
Ultra_Susu_SusuCairLowFatHi-CalciumCokelat_250mL,160,2.0,15.0,0.16,9,0,0,12.791931166288915,3.7734741784037555,9.018456987885159,C
Ultra_Susu_SusuUhtSterilSlimChocolate_250mL,160,3.0,19.0,0..045,6,0,0,13.874351595900405,3.888888888888889,9.985462707011516,C
Ultra_Susu_SusuUhtSterilSlimStrawberry_250mL,140,2.5,17.0,0.05,6,0,0,13.871191631344953,3.888888888888889,9.982302742456064,C
Ultra_Susu_SusuUhtMoka_250mL,140,2.5,13.0,0.055,7,0,0,9.220253599488434,2.046225614927905,7.174027984560529,C
Ultra_Susu_SusuUhtSterilCoklat_125mL,100,2.0,12.0,0.025,4,0,0,8.758531257199346,2.2,6.558531257199346,C
Indomilk_Susu_SusuCairSterilStrawberry_190mL,120,2.5,19.0,0.075,4,2,0,11.016427012095713,2.2,8.816427012095712,C
Indomilk_Susu_SusuCairSterilSusuChoco_190mL,130,2.5,21.0,0.075,4,2,0,14.678937874315523,2.2,12.478937874315523,D
Indomilk_Susu_SusuCairSterilMelon_190 Ml,120,2.5,17.0,0.075,4,2,0,12.748478162692521,2.2,10.548478162692522,D
Indomilk_Susu_SusuCairSterilVanila_190 Ml,110,2.5,15.0,0.08,4,2,0,10.614411908576427,2.2,8.414411908576426,C
Indomilk_Susu_SusuCairUhtSeoulBanana_180mL,120,2.5,16.0,0.08,4,1,0,9.922710217068994,2.2,7.722710217068994,C
Indomilk_Susu_SusuCairUhtKoreanStrawberry_180mL,140,2.5,18.0,0.065,4,0,0,13.52155077382074,2.2,11.32155077382074,D
Indomilk_Susu_SusuCairUhtHaenamGoguma_180mL,120,2.5,16.0,0.07,4,0,0,9.922710217068994,2.2,7.722710217068994,C
Indomilk_Susu_SusuCairUhtBusanVanilla_180mL,120,2.5,16.0,0.08,4,1,0,9.922710217068994,2.2,7.722710217068994,C
Indomilk_Susu_SusuCairUhtJejuChocolate_180mL,120,3.0,15.0,0.065,4,1,0,12.123950105337927,2.2,9.923950105337926,C
Indomilk_Susu_SusuSterilPlain_189mL,110,4.0,8.0,0.07,6,0,0,10.763069602732049,3.888888888888889,6.87418071384316,C
Indomilk_Susu_SusuSterilHoney_189mL,140,3.0,19.0,0.11,5,1,0,13.609425189048016,4.230854360336433,9.378570828711585,C
Milo_Susu_HealtyDrinkUhtActivGo_180mL,128,2.0,12.0,0.385,3,0,0,9.270398603622073,2.4989583333333334,6.77144027028874,C
Milo_Susu_HealtyDrinkUhtNutriactivChocoCereal_180mL,110,2.0,15.0,0.105,3,0,0,10.39380957754168,2.4989583333333334,7.894851244208346,C
Milo_Susu_HealtyDrinkUhtNutriactivChocoBanana_180mL,110,2.0,15.0,0.105,3,0,0,10.39380957754168,2.4989583333333334,7.894851244208346,C
Milo_Susu_ActigeneCan_240mL,170,3.5,16.0,0.11,5,0,0,12.339365427584417,4.230854360336433,8.108511067247985,C
Milo_Susu_HealthyDrinkNutriup_220mL,130,2.5,13.0,0.075,4,0,0,8.806801087802036,2.2,6.606801087802036,C
FrisianFlag_Susu_SusuCairUhtFullCream_225Ml,130,3.5,10.0,0.1,7,0,0,10.056497867380243,2.046225614927905,8.010272252452339,C
FrisianFlag_Susu_SusuCairUhtCoconutDelight_225Ml,150,3.0,16.0,0.09,6,0,0,13.277675246345758,3.888888888888889,9.388786357456869,C
FrisianFlag_Susu_SusuCairUhtStrawberry_225Ml,150,2.5,14.0,0.11,5,0,0,12.726737055295548,4.230854360336433,8.495882694959114,C
FrisianFlag_Susu_SusuCairUhtSwissCokelat_225Ml,160,3.0,20.0,0.1,6,0,0,16.484329075618785,3.888888888888889,12.595440186729896,D
FrisianFlag_Susu_SusuCairUhtKetanHitam_225Ml,140,2.0,16.0,0.09,5,5,0,10.490903606755655,4.230854360336433,6.260049246419222,C
FrisianFlag_Susu_SusuCairLowFatBelgianCokelat_225Ml,130,1.5,21.0,0.09,6,0,0,16.212962962962962,3.888888888888889,12.324074074074073,D
FrisianFlag_Susu_SusuCairLowFatCalifornianStrawberry_225Ml,130,1.5,21.0,0.14,6,0,0,16.212962962962962,3.888888888888889,12.324074074074073,D
FrisianFlag_Susu_SusuCairLowFatFrenchVanilla_225Ml,110,1.5,16.0,0.11,7,0,0,9.875244526801925,2.046225614927905,7.82901891187402,C
Greenfields_Susu_UhtMilkExtraVanilaChamomile_200mL,130,3.0,18.0,0.055,5,0,0,13.977213514212044,4.230854360336433,9.746359153875613,C
Greenfields_Susu_UhtMilkExtraChocoMalt_200mL,140,3.0,18.0,0.06,5,0,0,14.635565610786308,4.230854360336433,10.404711250449875,D
Greenfields_Susu_UhtMilkExtraStrawberryRoseMilkwithCollagen_200mL,110,2.0,14.0,0.06,6,0,0,10.624541297500084,3.888888888888889,6.735652408611195,C
Greenfields_Susu_UhtMilkFullCream_250mL,160,6.0,11.0,0.085,8,0,0,16.60899642107422,5.4305555555555545,11.178440865518667,D
Greenfields_Susu_UhtMilkStrawberry_250mL,180,3.0,23.0,0.075,7,0,0,13.708422119567059,2.046225614927905,11.662196504639155,D
Greenfields_Susu_UhtMilkChocolate_250mL,190,3.0,25.0,0.075,8,0,0,16.978580081139334,5.4305555555555545,11.54802452558378,D
Greenfields_Susu_ChocoMalt_500mL,170,3.5,20.0,0.08,6,0,0,16.039523700557737,3.888888888888889,12.150634811668848,D
Greenfields_Susu_FreshMilk_1L,130,4.0,9.0,0.07,6,0,0,11.805797389262883,3.888888888888889,7.916908500373994,C
Greenfields_Susu_FreshMilkStrawberry_1L,160,4.0,20.0,0.06,6,0,0,17.97174857125361,3.888888888888889,14.08285968236472,D
Greenfields_Susu_FreshMilkJersey_1L,150,7.0,9.0,0.085,7,0,0,20.150834029761047,2.046225614927905,18.10460841483314,E
Greenfields_Susu_ChocoMalt_500mL,170,3.5,20.0,0.08,6,0,0,16.039523700557737,3.888888888888889,12.150634811668848,D
Greenfields_Susu_UhtMilkLowFat_1L,110,2.0,12.0,0.095,9,0,0,8.88746514502503,3.7734741784037555,5.113990966621275,C
Greenfields_Susu_UhtMilkLowFatMochaccinoMilk_1L,130,1.0,21.0,0.06,6,0,0,14.701612903225806,3.888888888888889,10.812724014336917,D
Greenfields_Susu_UhtMilkLowFat_1.1%Lemak_1L,80,1.0,9.0,0.07,6,0,0,6.452009260497586,3.888888888888889,2.5631203716086968,C
Greenfields_Susu_UhtMilkFullCream_1L,160,6.0,12.0,0.09,8,0,0,16.948532814935014,5.4305555555555545,11.51797725937946,D
Greenfields_Susu_UhtMilkChocolate_1L,190,3.0,25.0,0.075,8,0,0,16.978580081139334,5.4305555555555545,11.54802452558378,D
Greenfields_Susu_UHTMilkSkimmed_1L,60,0.0,9.0,0.07,7,0,0,4.490521385128506,2.046225614927905,2.4442957702006014,C
Nutrive_Susu_MinumanBenecolStrawberry_100mL,120,0.0,8.0,0.02,2,2,0,5.2984792260941385,1.0,4.2984792260941385,C
Nutrive_Susu_MinumanBenecolLychhe_100Ml,120,,8.0,0.1,2,2,0,7.263001348259145,1.0,6.263001348259145,C
Nutrive_Susu_MinumanBenecolOrange_100Ml,120,0.0,6.0,0.04,2,2,0,3.1843510146854532,1.0,2.1843510146854532,C
Nutrive_Susu_MinumanBenecolBlackcurrant_100mL,120,,6.0,0.06,2,2,0,5.16597061537437,1.0,4.16597061537437,C
Tango_Susu_DrinkItalianChoco_250mL,140,3.0,16.0,0.1,3,2,0,12.445567140397253,2.4989583333333334,9.946608807063921,C
Cimory_Susu_FreshMilkUhtBebasLaktosa_250mL,130,0.5,8.0,0.09,6,0,0,5.794601160871308,3.888888888888889,1.9057122719824195,B
